Id tarjeta,Fecha,Pais,Importe
448,9/9/2026,Francia,215
172,5/9/2024,Francia,297
466,15/4/2023,Japon,481
542,8/8/2026,Mexico,382
380,7/6/2023,Japon,381
559,30/5/2024,Mexico,278
456,21/6/2026,Mexico,77
15,11/4/2024,USA,115
222,22/1/2024,Japon,277
83,28/2/2025,Francia,491
117,4/2/2023,Francia,524
510,15/6/2023,Mexico,139
258,7/8/2025,Brasil,361
147,14/4/2023,Mexico,499
13,17/12/2024,Brasil,439
237,10/4/2025,Japon,307
193,15/9/2026,Francia,452
154,7/9/2023,Francia,320
340,21/8/2024,Japon,575
377,28/5/2026,Brasil,425
478,17/10/2025,Japon,131
228,30/5/2025,Japon,429
247,28/1/2026,USA,231
345,31/10/2026,Brasil,153
278,24/10/2026,Mexico,432
431,13/2/2025,Francia,527
419,27/11/2024,Japon,404
546,5/4/2023,Mexico,517
140,8/3/2026,Mexico,263
134,12/8/2024,Japon,478
218,24/4/2025,Francia,472
377,24/3/2024,USA,59
266,30/1/2024,USA,564
568,23/12/2025,Mexico,246
538,22/4/2026,USA,539
291,17/7/2025,Brasil,30
207,7/12/2025,Francia,460
285,7/8/2023,Brasil,248
179,10/11/2024,Mexico,228
170,12/8/2023,USA,116
418,21/1/2026,Japon,345
79,10/3/2025,Japon,563
477,8/5/2024,Japon,438
228,26/2/2026,USA,502
55,25/8/2023,USA,97
516,7/12/2023,Mexico,12
160,4/7/2023,Japon,564
552,28/5/2025,Japon,461
334,13/2/2024,Francia,124
130,18/6/2026,Brasil,377
356,29/4/2024,Brasil,424
495,8/8/2025,Brasil,295
493,25/2/2025,Japon,402
570,11/12/2023,USA,561
148,30/12/2024,USA,582
338,28/4/2025,Japon,22
572,1/2/2026,USA,82
201,20/9/2024,USA,201
113,30/9/2026,Japon,414
557,30/1/2023,Japon,326
19,3/10/2023,USA,143
310,28/7/2026,Mexico,320
57,2/12/2026,Mexico,183
39,26/2/2024,Francia,19
222,7/6/2024,Mexico,137
552,13/7/2023,Brasil,294
341,23/11/2024,Mexico,134
78,30/4/2025,Francia,446
247,6/11/2026,Mexico,412
388,1/6/2026,Brasil,547
166,1/3/2025,Japon,30
351,12/10/2025,Mexico,502
477,16/1/2024,Mexico,169
114,26/12/2026,Francia,268
421,8/6/2023,Francia,418
117,14/4/2024,USA,196
349,18/9/2024,USA,431
230,13/7/2025,Francia,6
461,26/5/2025,Brasil,286
404,5/11/2023,USA,381
433,28/11/2023,USA,65
163,2/11/2026,Mexico,573
345,1/2/2023,Japon,485
139,29/2/2024,Francia,485
406,25/12/2023,Mexico,410
65,10/10/2024,USA,377
171,8/5/2024,Francia,450
73,16/9/2025,Francia,93
389,2/7/2024,Japon,259
470,16/11/2024,Brasil,405
429,14/5/2025,Japon,350
399,11/4/2026,Francia,412
533,17/10/2025,USA,428
